value,state,Abbreviation
1013447,California,CA
540437,New York,NY
530906,Texas,TX
354598,Florida,FL
287422,New Jersey,NJ
275767,Illinois,IL
231215,Massachusetts,MA
227604,Pennsylvania,PA
180519,Virginia,VA
160117,Washington,WA
150428,Ohio,OH
143811,Georgia,GA
136160,Maryland,MD
133939,North Carolina,NC
129371,Michigan,MI
127593,Connecticut,CT
120918,Colorado,CO
108096,Minnesota,MN
84614,Arizona,AZ
78912,Tennessee,TN
77562,Wisconsin,WI
72445,Missouri,MO
69880,Indiana,IN
61163,Louisiana,LA
58549,Oregon,OR
50579,Oklahoma,OK
49154,South Carolina,SC
43523,Alabama,AL
42927,Kansas,KS
39433,Kentucky,KY
37146,Nevada,NV
36432,Utah,UT
35978,Iowa,IA
30070,District of Columbia,DC
26910,Arkansas,AR
26012,New Hampshire,NH
25192,Nebraska,NE
20232,Mississippi,MS
19796,New Mexico,NM
17993,Hawaii,HI
17400,Rhode Island,RI
16198,North Dakota,ND
15655,Idaho,ID
13836,Delaware,DE
13070,Maine,ME
12531,Montana,MT
12377,Alaska,AK
12341,South Dakota,SD
11840,West Virginia,WV
10449,Wyoming,WY
7967,Vermont,VT
